No;Kode;Nama;Alamat;latitude;longitude
137;494720;BU YASMO;DSN KRAJAN DS NGLINGGO;-7.572393606;111.97352
138;494724;Warung DEU;SUKOMORO;-7.569747;111.973321
139;494725;SINAR AGUNG;KENTONG - SUKOMORO;-7.592799259;111.9873744
140;494623;TOKO RAHMA;RT 02 04 BEGADUNG;-7.532472;111.912843
141;494715;DARMIATI BU;DS NGRAMI   SUKOMORO  NGANJUK;-7.583822362;111.9464528
142;403641;SUKO TOSERBA;SUKOMORO PSR DEPAN;-7.602383;111.944685
143;494966;TK. BAGAWANDA;KEDUNGREJO;-7.591826;111.953735
144;900177;BU DAUT;PASAR NGRENGKET;-7.617108;111.930664
145;900190;NENI TETI MM;DSN GERUNG RT 004 RW 001;-7.539328;111.94936
146;3923;FAUZAN;SUKOMORO PASAR;-7.601698;111.944776
147;4049;BU KOMSIAH;SUKOMORO PASAR;-7.602159;111.944793
148;400358;SPBU SUKOMORO  MBAK RINI;SUKOMORO PASAR;-7.601995;111.944829
149;401493;P. YANTO;SUKOMORO PASAR;-7.601719;111.944523
150;401494;SRI;SUKOMORO PASAR;-7.6017;111.94457
151;401510;BU JUMIATI;SUKOMORO PASAR;-7.601729;111.944443
152;402514;SITI BU;SUKOMORO PASAR;-7.601876;111.944658
153;402515;SPBU SUKOMORO KANTORBU ANIK;NGRAMI 194 - SUKOMORO;-7.583388;111.944553
154;402536;MAN PAK;DS. KALIULO RT.02 RW.01;-7.601737;111.944769
155;402704;JUWARIYAH;SUKOMORO PASAR - DALAM;-7.601771;111.944649
156;403666;ERNA MBAK;PANDEAN DS KEC.GONDANG;-7.533081;111.962227
157;493748;P.TASMO;PASAR SUKOMORO;-7.601766;111.944891
158;493779;TK SITI NASAMAH;PS SUKOMORO;-7.602171;111.944739
159;493824;SUNARTO SH;PASAR SUKOMORO;-7.601714;111.944353
160;494336;Mas Joko;Pasar Brambang Ke Timur;-7.582755;111.938106
161;494337;Mas Kur;Pasar Brambang Ke Utara;-7.582974;111.935784
162;494625;SPBU SUKOMORO IIWATINI;NGRAMI;-7.52678;111.952103
163;494689;BU JUM PALEN;PASAR SUKOMORO;-7.579983287;111.9305788
164;494691;BU SUR;DS PUTREN KEC.SUKOMORO;-7.57854088;111.9284272
